src_id,ego_id,degree
100000907046238530193,106382433884876652170,641
100000907046238530193,114122960748905067938,528
100002360555406652980,101373961279443806744,1135
100002360555406652980,109213135085178239952,838
100002360555406652980,112463391491520264813,720
100002467422536674298,106724181552911298818,442
100005082705576559431,105646458226420473639,748
100005082705576559431,107040353898400532534,751
100007793076838098007,111048918866742956374,652
100008176682616801686,106382433884876652170,524
100008176682616801686,114122960748905067938,590
100008176682616801686,114147483140782280818,453
100008176682616801686,116807883656585676940,490
100008438047495460295,100535338638690515335,782
100008438047495460295,102340116189726655233,507
100008438047495460295,106724181552911298818,614
100008438047495460295,109596373340495798827,619
100008438047495460295,111048918866742956374,427
100008438047495460295,112463391491520264813,824
100008438047495460295,114122960748905067938,1065
100008438047495460295,115273860520983542999,879
100008438047495460295,115516333681138986628,955
100008438047495460295,116807883656585676940,941
100008438047495460295,116825083494890429556,557
100012493880826494862,101373961279443806744,1373
100012493880826494862,103236949470535942612,953
100012493880826494862,113718775944980638561,937
100013503239814724841,101373961279443806744,951
100013503239814724841,106186407539128840569,438
100013503239814724841,106382433884876652170,899
100013503239814724841,107489144252174167638,1146
100013503239814724841,114122960748905067938,691
100013503239814724841,114124942936679476879,1142
100013687611442258419,114122960748905067938,557
100015878886887680906,105646458226420473639,483
100019364506073195455,103752943025677384806,773
100019364506073195455,107362628080904735459,719
100019364506073195455,110971010308065250763,433
100021250551206310907,116931379084245069738,580
100024316682214673602,106382433884876652170,1272
100024316682214673602,111058843129764709244,851
100025129639463186290,107040353898400532534,486
100026978292580436104,103236949470535942612,477
100026978292580436104,106228758905254036967,456
100026978292580436104,115573545440464933254,580
100026978292580436104,116825083494890429556,1205
100029952441889055629,112787435697866537461,457
100030967570283228843,107489144252174167638,724
100030967570283228843,114124942936679476879,676
100034951622767959071,107040353898400532534,780
100034951622767959071,113718775944980638561,1037
100036647073748508953,103752943025677384806,1305
100036983323956383559,103752943025677384806,811
100036983323956383559,113718775944980638561,617
100038413049692507612,107489144252174167638,1423
100038413049692507612,114124942936679476879,1402
100038567648880602892,101626577406833098387,461
100043057758270223301,116807883656585676940,565
100045990726747178457,101263615503715477581,1014
100045990726747178457,103752943025677384806,1078
100045990726747178457,104905626100400792399,631
100045990726747178457,106186407539128840569,610
100045990726747178457,107362628080904735459,1381
100045990726747178457,110971010308065250763,545
100045990726747178457,113718775944980638561,1328
100045990726747178457,114147483140782280818,691
100045990726747178457,118107045405823607895,534
100046325985741036373,103892332449873403244,632
100046418043149960706,105646458226420473639,901
100046418043149960706,110538600381916983600,518
100046643346639044019,114124942936679476879,452
100051837928894807640,117734260411963901771,503
100052159169239387074,112787435697866537461,419
100058257422535399086,115455024457484679647,453
100078878374475798187,101185748996927059931,434
100078878374475798187,103752943025677384806,427
100080670028138179312,101263615503715477581,1663
100080670028138179312,101373961279443806744,1349
100080670028138179312,103236949470535942612,903
100080670028138179312,103752943025677384806,2256
100080670028138179312,104987932455782713675,1108
100080670028138179312,107362628080904735459,1804
100080670028138179312,113718775944980638561,1667
100080670028138179312,114124942936679476879,1366
100080670028138179312,117668392750579292609,462
100084794854549110624,107489144252174167638,995
100084794854549110624,114124942936679476879,988
100085555922209801212,117734260411963901771,906
100087461470148404206,106417861423111072106,604
100089884252724861660,109130886479781915270,494
100089884252724861660,116807883656585676940,572
100093468880409449429,112787435697866537461,863
100095669250946685587,106382433884876652170,462
100095669250946685587,107040353898400532534,420
100095669250946685587,111048918866742956374,558
100095669250946685587,111091089527727420853,603
100095669250946685587,115516333681138986628,523
100097237485500025852,111048918866742956374,494
100097706252571210245,106382433884876652170,1326
100097706252571210245,114147483140782280818,1050
100099806002888081826,104905626100400792399,538
100099806002888081826,111048918866742956374,745
100101157333365757186,103752943025677384806,1009
100101688249759157427,108883879052307976051,574
100101907735272950968,109130886479781915270,470
100103465085338581870,114147483140782280818,419
100106976482511825790,106382433884876652170,1029
100106976482511825790,115455024457484679647,768
100107128503696010274,111048918866742956374,432
100108748286091666585,111048918866742956374,475
100112093083874087751,104290609881668164623,775
100112222456745475326,114122960748905067938,700
100115561238612867965,105646458226420473639,497
100119897149457633998,105646458226420473639,1395
100122163025122144979,114147483140782280818,543
100124104487446707223,112787435697866537461,1680
100125216216721633658,103236949470535942612,569
100125216216721633658,110538600381916983600,476
100125216216721633658,113171096418029011322,815
100129275726588145876,106724181552911298818,466
100129275726588145876,109130886479781915270,495
100129275726588145876,109596373340495798827,513
100129275726588145876,114122960748905067938,461
100131720246450322354,101626577406833098387,476
100132612879660965860,106724181552911298818,618
100132612879660965860,107362628080904735459,636
100132612879660965860,109596373340495798827,630
100132612879660965860,111091089527727420853,528
100132612879660965860,116825083494890429556,488
100132815412082402248,107040353898400532534,529
100137101068176180611,106382433884876652170,524
100137478738658316960,112463391491520264813,1030
100139396065575087708,101373961279443806744,964
100139396065575087708,112787435697866537461,1165
100139396065575087708,114122960748905067938,539
100139733702645461424,103236949470535942612,844
100143588497058177943,104290609881668164623,759
100143588497058177943,109596373340495798827,747
100143588497058177943,111048918866742956374,615
100143588497058177943,111091089527727420853,1426
100146646232137568790,114147483140782280818,546
100147097284628132482,111048918866742956374,502
100147979505882059570,112463391491520264813,694
100148131753059528231,100720409235366385249,1462
100148131753059528231,101130571432010257170,1127
100148131753059528231,101373961279443806744,1125
100148131753059528231,103752943025677384806,1169
100148131753059528231,105565257978663183206,701
100148131753059528231,105646458226420473639,1121
100148131753059528231,106724181552911298818,1188
100148131753059528231,107489144252174167638,1459
100148131753059528231,109213135085178239952,1018
100148131753059528231,110971010308065250763,585
100150262516656318671,107489144252174167638,450
100154520568840975178,111048918866742956374,540
100158294387095221291,101373961279443806744,608
100158294387095221291,103236949470535942612,482
100158294387095221291,103752943025677384806,801
100158294387095221291,105646458226420473639,641
100158294387095221291,112463391491520264813,448
100158294387095221291,112787435697866537461,583
100158294387095221291,113718775944980638561,725
100158528827446960868,106724181552911298818,426
100163238332537499583,103236949470535942612,877
100163238332537499583,103752943025677384806,1683
100163238332537499583,104607825525972194062,946
100163238332537499583,105646458226420473639,1418
100163238332537499583,107040353898400532534,536
100163238332537499583,113718775944980638561,1827
100163238332537499583,118107045405823607895,730
100166574026602260159,101130571432010257170,465
100166574026602260159,113718775944980638561,574
100169245463332350626,103752943025677384806,421
100169245463332350626,105646458226420473639,444
100171160323617338451,101130571432010257170,526
100171160323617338451,101373961279443806744,1043
100171160323617338451,103236949470535942612,884
100171160323617338451,103752943025677384806,1190
100171160323617338451,105646458226420473639,1768
100171160323617338451,107040353898400532534,540
100171160323617338451,107489144252174167638,1017
100171160323617338451,110538600381916983600,1056
100171160323617338451,114124942936679476879,867
100174680553226450788,105646458226420473639,861
100174680553226450788,107040353898400532534,877
100177138059393099201,112787435697866537461,532
100178862812199164136,108156134340151350951,466
100180575185522802900,104905626100400792399,808
100180575185522802900,108156134340151350951,1035
100180575185522802900,111091089527727420853,1079
100180575185522802900,115273860520983542999,644
100183483443926370553,102170431816592344972,575
100183483443926370553,104917160754181459072,583
100183483443926370553,107040353898400532534,1079
100183483443926370553,107203023379915799071,560
100183483443926370553,114124942936679476879,877
100183483443926370553,114147483140782280818,1172
100186769828652437511,106382433884876652170,897
100186769828652437511,111048918866742956374,538
100194394535307018014,105565257978663183206,492
100194394535307018014,106724181552911298818,930
100194394535307018014,107362628080904735459,499
100194394535307018014,115273860520983542999,649
100199206837153934262,101263615503715477581,692
100199206837153934262,101373961279443806744,1158
100199206837153934262,103236949470535942612,676
100199206837153934262,107489144252174167638,1624
100199206837153934262,114124942936679476879,1587
100202437969531520213,105646458226420473639,647
100202437969531520213,113112256846010263985,456
100202616315945105308,100668989009254813743,455
100202616315945105308,114147483140782280818,496
100205133240537822783,101626577406833098387,433
100210163638314228996,103537112468125883734,435
100210163638314228996,104607825525972194062,624
100211417694760669717,106724181552911298818,857
100211417694760669717,114147483140782280818,734
100212234222650477240,105646458226420473639,1085
100212234222650477240,109130886479781915270,1333
100212234222650477240,112787435697866537461,1574
100212873262175687923,103752943025677384806,1076
100212873262175687923,105646458226420473639,1444
100212873262175687923,107040353898400532534,435
