user_id,degree
115665147773049983469,246
112330796199551178519,336
104671914836231031239,232
106712775403538194380,578
106890225437412284292,1125
103698889037599783920,1310
108317178104639059149,207
115516333681138986628,2267
103411389437172901718,386
103146739347913632415,269
101133961721621664586,459
103743130668254264029,197
104523937022819424424,1248
113886643325659796001,274
106420653941281751007,603
103672954444962539555,1008
107140884077582692033,266
114141233015992120957,401
109717575157128771241,898
109663971894474457446,729
113924555766753659514,3024
118389515747472185082,190
109739105846178361048,581
102502478863377687736,266
101924860229360230412,917
105492119742825421749,1357
111681680800055665612,413
108021646260607117368,197
102618047349606277909,1964
105986763264590753118,1863
111349858851804350826,628
107642410502369093340,428
118222512929985638168,486
106477525564841896867,1130
106103118976077319993,391
118108325814003963743,257
114870652491954460386,729
111215626086255858123,1079
108208027022579038018,2066
108631503120169701251,262
104058124842486191904,196
115633934578783827271,861
106955175674471221909,248
117528322815962803521,1684
107472474647563857708,1813
115932641572813649112,791
105939148031523355640,464
109907447383307087458,359
111164228693257897305,377
112658509879375652305,578
111925802087694731213,246
108350757430887996754,809
113536548078119953506,571
107106193255722487200,943
109971031268487124662,1668
115709805649803380122,578
109332058216529944011,501
117580925821727692155,866
114720841232767381955,1693
106563939316174148215,677
109479560363527324813,656
100221555167886931877,288
102649631371981352818,333
107379489464447013340,2409
116315897040732668413,1132
104421522022168544419,513
116933569062022653907,631
100211417694760669717,1429
104900819062422452874,3374
114085939943834183247,542
109952403888787261893,233
117535783004495331917,398
117668392750579292609,1187
118347867796626195694,294
109394349516935036489,1041
117949314904695168818,3481
111792749577709496730,1210
117682174689697734473,895
100763186835498477714,1018
102637183526072842850,1820
110899709105002539146,650
102817283354809142195,405
110258598415939907971,1476
115270351257026959175,736
112868150649835514847,259
105741176581181192277,398
114077525644661833984,908
116052312205661322001,2172
114855998036632311759,252
107660875906928406568,453
106002545837976723927,2025
118386555818967302809,2083
103027060563420568748,678
107532459816874861825,375
116936089053490488674,2164
113201130051856082344,1130
109542090307382113085,679
103135699585421857716,542
100029155361912085711,426
110931152668652350896,1094
116825083494890429556,3241
115902200409271747737,219
107155666869509300116,2693
117106864988585204018,247
110347380425323822802,409
115029186078239273995,612
105467292422978603982,194
106994300076581635829,323
103038287804535196503,1782
107864377265514441999,1320
116040034931930295896,275
111886812347666956312,984
100186938589206311054,1097
104405539079062799451,3516
106237174356318230057,2222
116974980035617018625,486
100584443531788315896,1423
101762552835650476929,708
104811448901887810876,570
107668018853508633698,1176
104987624452429967101,1504
107511848516702489145,797
117110782635546264962,720
115605662381863733754,2072
115645819756954392135,409
112897541846743547864,251
115585398292418640701,2705
116668503414691251980,1849
116337975768456202821,198
102737705736968820678,660
105745543515055969267,837
108443027359212340995,1198
