ego_id,count
100129275726588145876,166292
100329698645326486178,93510
100466178325794757407,4178
100500197140377336562,16043
100518419853963396365,10297
100521671383026672718,19847
100535338638690515335,66918
100637660947564674695,3994
100668989009254813743,352373
100715738096376666180,52439
100720409235366385249,435569
100962871525684315897,32488
101130571432010257170,527011
101133961721621664586,26552
101185748996927059931,69139
101263615503715477581,484666
101373961279443806744,1133507
101499880233887429402,6618
101541879642294398860,20527
101560853443212199687,107
101626577406833098387,432940
101848191156408080085,1341
101997124338642780860,13066
102170431816592344972,197939
102340116189726655233,236909
102615863344410467759,1335
102778563580121606331,48359
103236949470535942612,628350
103241736833663734962,1767
103251633033550231172,6770
103338524411980406972,123
103503116383846951534,6676
103537112468125883734,331794
103752943025677384806,1596903
103892332449873403244,145150
104076158580173410325,7
104105354262797387583,15148
104226133029319075907,33138
104290609881668164623,305998
104607825525972194062,382520
104672614700283598130,21941
104905626100400792399,305075
104917160754181459072,111738
104987932455782713675,228521
105565257978663183206,294151
105646458226420473639,1614977
106186407539128840569,284304
106228758905254036967,322165
106328207304735502636,272
106382433884876652170,771351
106417861423111072106,174309
106724181552911298818,521294
106837574755355833243,58992
107013688749125521109,29435
107040353898400532534,739046
107203023379915799071,143866
107223200089245371832,75709
107296660002634487593,51953
107362628080904735459,796192
107459220492917008623,14057
107489144252174167638,1454369
107965826228461029730,20872
108156134340151350951,242765
108404515213153345305,6299
108541235642523883716,54555
108883879052307976051,107368
109130886479781915270,627763
109213135085178239952,238471
109327480479767108490,10111
109342148209917802565,18179
109596373340495798827,560624
109602109099036550366,130231
110232479818136355682,1259
110241952466097562819,983
110538600381916983600,582827
110581012109008817546,2242
110614416163543421878,12341
110701307803962595019,118823
110739220927723360152,252
110809308822849680310,580
110971010308065250763,328315
111048918866742956374,527604
111058843129764709244,290468
111091089527727420853,596494
111213696402662884531,9214
112317819390625199896,13119
112463391491520264813,624800
112573107772208475213,69545
112724573277710080670,34320
112737356589974073749,32780
112787435697866537461,1270141
113112256846010263985,118788
113122049849685469495,28345
113171096418029011322,202125
113356364521839061717,187614
113455290791279442483,2884
113597493946570654755,8558
113718775944980638561,1146177
113799277735885972934,90527
113881433443048137993,24034
114054672576929802335,6038
114104634069486127920,11716
114122960748905067938,662766
114124942936679476879,1212982
114147483140782280818,475143
114336431216099933033,6081
115121555137256496805,68335
115273860520983542999,292679
115360471097759949621,39128
115455024457484679647,137466
115516333681138986628,204699
115573545440464933254,299096
115576988435396060952,15502
115625564993990145546,39400
116059998563577101552,49211
116247667398036716276,74202
116315897040732668413,106485
116450966137824114154,1104
116807883656585676940,416992
116825083494890429556,479750
116899029375914044550,123
116931379084245069738,510112
117412175333096244275,1174
117503822947457399073,13800
117668392750579292609,122044
117734260411963901771,415499
117798157258572080176,1411
117866881767579360121,798
118107045405823607895,266035
118255645714452180374,7132
118379821279745746467,36710
